especie,porte,idade_categoria,temperatura,umidade,atividade_pct,nivel_risco
gato,unico,adulto,18.98,37.34,12.8,atencao
gato,unico,adulto,28.36,47.83,23.5,normal
ave,unico,adulto,31.43,34.02,81.02,atencao
cao,medio,idoso,21.39,65.98,26.45,atencao
ave,unico,adulto,27.97,46.36,46.92,normal
cao,grande,adulto,24.56,50.99,4.32,critico
gato,unico,filhote,24.52,53.8,29.13,normal
cao,medio,idoso,24.85,45.46,61.6,normal
cao,pequeno,adulto,31.78,37.99,63.57,normal
gato,unico,adulto,28.29,31.86,66.64,normal
gato,unico,filhote,23.08,35.21,95.79,normal
gato,unico,adulto,33.52,62.34,40.89,normal
cao,grande,adulto,21.47,57.37,58.01,normal
cao,grande,adulto,21.83,49.81,27.58,normal
gato,unico,adulto,35.17,37.29,79.21,normal
gato,unico,adulto,25.95,38.32,63.25,normal
gato,unico,adulto,20.44,63.69,53.23,normal
cao,pequeno,filhote,26.16,82.74,94.49,atencao
ave,unico,adulto,26.24,46.86,37.94,normal
cao,pequeno,idoso,25.27,46.22,48.57,normal
cao,pequeno,idoso,31.69,45.13,49.24,normal
gato,unico,adulto,27.6,35.64,83.19,normal
cao,medio,filhote,22.08,66.55,25.39,atencao
gato,unico,adulto,22.78,30.22,13.15,critico
gato,unico,adulto,29.9,59.16,12.71,atencao
gato,unico,adulto,21.04,44.34,24.85,normal
cao,medio,filhote,32.13,54.19,17.6,atencao
cao,pequeno,adulto,20.95,42.44,49.39,normal
cao,grande,idoso,30.43,54.68,92.04,normal
ave,unico,idoso,31.67,46.18,83.13,normal
cao,grande,idoso,30.83,52.08,9.47,critico
ave,unico,adulto,20.2,64.87,42.21,atencao
cao,medio,adulto,26.59,38.07,92.18,atencao
cao,grande,idoso,27.19,52.15,78.51,atencao
cao,grande,adulto,22.09,54.18,65.49,normal
ave,unico,adulto,27.84,73.0,73.93,normal
gato,unico,filhote,29.32,62.94,69.06,normal
cao,pequeno,idoso,24.89,36.59,19.82,atencao
ave,unico,adulto,28.06,54.58,33.25,atencao
cao,medio,idoso,25.26,37.15,54.56,normal
cao,medio,adulto,38.55,24.72,25.04,critico
gato,unico,adulto,24.94,42.19,29.0,normal
gato,unico,adulto,27.48,49.39,73.86,normal
cao,medio,adulto,24.04,39.77,37.62,normal
cao,medio,adulto,23.28,52.32,16.06,atencao
gato,unico,filhote,21.82,41.63,8.79,atencao
ave,unico,filhote,34.34,63.82,49.89,normal
cao,pequeno,filhote,33.85,42.07,98.35,normal
cao,medio,adulto,26.17,31.32,15.18,atencao
cao,grande,adulto,29.52,57.23,64.82,normal
gato,unico,filhote,26.38,70.09,13.79,atencao
cao,grande,idoso,30.84,41.08,9.05,critico
gato,unico,adulto,25.15,55.29,68.85,normal
gato,unico,adulto,27.5,33.61,86.0,normal
gato,unico,adulto,24.49,37.46,18.47,normal
cao,medio,adulto,28.86,57.1,26.24,normal
